CNPJ_Fundo,Data_Referencia_x,Versao_x,Classe,Nome_Imovel,Endereco_x,Area_x,Numero_Unidades_x,Outras_Caracteristicas_Relevantes_x,Percentual_Vacancia,Percentual_Inadimplencia,Percentual_Receitas_FII,Percentual_Locado,Percentual_Vendido,Percentual_Conclusao_Obras_Realizado,Percentual_Conclusao_Obras_Previsto,Custo_Construcao_Realizado,Custo_Construcao_Previsto,Percentual_Imovel_Total_Investido_x,Data_Referencia_y,Versao_y,Endereco_y,Area_y,Numero_Unidades_y,Outras_Caracteristicas_Relevantes_y,Percentual_Imovel_Total_Investido_y,Categoria,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rua Pajurá, nº 171 -  Manaus/AM",3450.0,1.0,Imóvel Comercial,0.0,0.0,0.06,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rua Pajurá, nº 171 -  Manaus/AM",3450.0,1.0,Imóvel Comercial,0.0,0.0,0.06,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Portugal, n° 5.060 - Belo Horizonte/Minas Gerais",1011.03,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Portugal, n° 5.060 - Belo Horizonte/Minas Gerais",1011.03,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Portugal, n° 5.060 - Belo Horizonte/Minas Gerais",1011.03,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Portugal, n° 5.060 - Belo Horizonte/Minas Gerais",1011.03,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Amazonas, nº 8.555 - Belo Horizonte/Minas Gerais",715.34,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Amazonas, nº 8.555 - Belo Horizonte/Minas Gerais",715.34,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Amazonas, nº 8.555 - Belo Horizonte/Minas Gerais",715.34,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Amazonas, nº 8.555 - Belo Horizonte/Minas Gerais",715.34,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod do BR-285, km 670, s/n° - São Borja/RS",2168.0,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod do BR-285, km 670, s/n° - São Borja/RS",2168.0,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod do BR-285, km 670, s/n° - São Borja/RS",2168.0,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod do BR-285, km 670, s/n° - São Borja/RS",2168.0,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2972.0,1.0,Imóvel Comercial,0.0,0.0,0.06,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2972.0,1.0,Imóvel Comercial,0.0,0.0,0.06,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2972.0,1.0,Imóvel Comercial,0.0,0.0,0.06,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2972.0,1.0,Imóvel Comercial,0.0,0.0,0.06,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod BR 101, KM 335, s/n - Tubarão/ Santa Catarina",1780.0,1.0,Imóvel Comercial,0.0,0.0,0.03,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod BR 101, KM 335, s/n - Tubarão/ Santa Catarina",1780.0,1.0,Imóvel Comercial,0.0,0.0,0.03,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod BR 101, KM 335, s/n - Tubarão/ Santa Catarina",1780.0,1.0,Imóvel Comercial,0.0,0.0,0.03,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod BR 101, KM 335, s/n - Tubarão/ Santa Catarina",1780.0,1.0,Imóvel Comercial,0.0,0.0,0.03,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Getúlio Vargas, n° 11.181 - Canoas/ RS",12334.0,1.0,Imóvel Comercial,0.0,0.0,0.3,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Getúlio Vargas, n° 11.181 - Canoas/ RS",12334.0,1.0,Imóvel Comercial,0.0,0.0,0.3,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Getúlio Vargas, n° 11.181 - Canoas/ RS",12334.0,1.0,Imóvel Comercial,0.0,0.0,0.3,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Getúlio Vargas, n° 11.181 - Canoas/ RS",12334.0,1.0,Imóvel Comercial,0.0,0.0,0.3,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Pedro Álvares Cabral, n° 2.621 e 2.647 -  Belém/Pará",433.25,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Pedro Álvares Cabral, n° 2.621 e 2.647 -  Belém/Pará",433.25,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Pedro Álvares Cabral, n° 2.621 e 2.647 -  Belém/Pará",433.25,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Pedro Álvares Cabral, n° 2.621 e 2.647 -  Belém/Pará",433.25,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",967.76,1.0,Imóvel Comercial,0.0,0.0,0.03,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",967.76,1.0,Imóvel Comercial,0.0,0.0,0.03,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",967.76,1.0,Imóvel Comercial,0.0,0.0,0.03,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",967.76,1.0,Imóvel Comercial,0.0,0.0,0.03,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod do Xisto BR-476, Km. 16,5, n° 3.105 - Araucária/ Paraná",3082.62,1.0,Imóvel Comercial,0.0,0.0,0.04,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod do Xisto BR-476, Km. 16,5, n° 3.105 - Araucária/ Paraná",3082.62,1.0,Imóvel Comercial,0.0,0.0,0.04,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod do Xisto BR-476, Km. 16,5, n° 3.105 - Araucária/ Paraná",3082.62,1.0,Imóvel Comercial,0.0,0.0,0.04,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Rod do Xisto BR-476, Km. 16,5, n° 3.105 - Araucária/ Paraná",3082.62,1.0,Imóvel Comercial,0.0,0.0,0.04,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão/São Paulo",39436.0,1.0,Imóvel Comercial,0.0,0.0,0.31,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão/São Paulo",39436.0,1.0,Imóvel Comercial,0.0,0.0,0.31,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão/São Paulo",39436.0,1.0,Imóvel Comercial,0.0,0.0,0.31,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão/São Paulo",39436.0,1.0,Imóvel Comercial,0.0,0.0,0.31,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Mário Leal Ferreira, n° 509, Brotas - Salvador/Bahia",1388.13,1.0,Imóvel Comercial,0.0,0.0,0.05,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Mário Leal Ferreira, n° 509, Brotas - Salvador/Bahia",1388.13,1.0,Imóvel Comercial,0.0,0.0,0.05,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Mário Leal Ferreira, n° 509, Brotas - Salvador/Bahia",1388.13,1.0,Imóvel Comercial,0.0,0.0,0.05,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Mário Leal Ferreira, n° 509, Brotas - Salvador/Bahia",1388.13,1.0,Imóvel Comercial,0.0,0.0,0.05,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Ulysses Guimarães, n° 40 - São Borja/RS",9100.0,1.0,Imóvel Comercial,0.0,0.0,0.0,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Ulysses Guimarães, n° 40 - São Borja/RS",9100.0,1.0,Imóvel Comercial,0.0,0.0,0.0,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Ulysses Guimarães, n° 40 - São Borja/RS",9100.0,1.0,Imóvel Comercial,0.0,0.0,0.0,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-06-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Ulysses Guimarães, n° 40 - São Borja/RS",9100.0,1.0,Imóvel Comercial,0.0,0.0,0.0,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Mário Leal Ferreira, n° 509, Brotas - Salvador/Bahia",1388.13,1.0,Imóvel Comercial,0.0,0.0,0.05,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Mário Leal Ferreira, n° 509, Brotas - Salvador/Bahia",1388.13,1.0,Imóvel Comercial,0.0,0.0,0.05,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Mário Leal Ferreira, n° 509, Brotas - Salvador/Bahia",1388.13,1.0,Imóvel Comercial,0.0,0.0,0.05,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Mário Leal Ferreira, n° 509, Brotas - Salvador/Bahia",1388.13,1.0,Imóvel Comercial,0.0,0.0,0.05,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão/São Paulo",39436.0,1.0,Imóvel Comercial,0.0,0.0,0.33,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão/São Paulo",39436.0,1.0,Imóvel Comercial,0.0,0.0,0.33,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão/São Paulo",39436.0,1.0,Imóvel Comercial,0.0,0.0,0.33,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão/São Paulo",39436.0,1.0,Imóvel Comercial,0.0,0.0,0.33,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Pedro Álvares Cabral, n° 2.621 e 2.647 -  Belém/Pará",433.25,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Pedro Álvares Cabral, n° 2.621 e 2.647 -  Belém/Pará",433.25,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Pedro Álvares Cabral, n° 2.621 e 2.647 -  Belém/Pará",433.25,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Pedro Álvares Cabral, n° 2.621 e 2.647 -  Belém/Pará",433.25,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Getúlio Vargas, n° 11.181 - Canoas/ RS",12334.0,1.0,Imóvel Comercial,0.0,0.0,0.32,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Getúlio Vargas, n° 11.181 - Canoas/ RS",12334.0,1.0,Imóvel Comercial,0.0,0.0,0.32,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Getúlio Vargas, n° 11.181 - Canoas/ RS",12334.0,1.0,Imóvel Comercial,0.0,0.0,0.32,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Avenida Getúlio Vargas, n° 11.181 - Canoas/ RS",12334.0,1.0,Imóvel Comercial,0.0,0.0,0.32,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2972.0,1.0,Imóvel Comercial,0.0,0.0,0.06,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2972.0,1.0,Imóvel Comercial,0.0,0.0,0.06,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2972.0,1.0,Imóvel Comercial,0.0,0.0,0.06,,,,,,,,,,,,,,,,2023-12-31,1.0,"Avenida Joaquim Miguel Couto, n° 1.750 - Cubatão",2023-12-18,39436.0,1.0,,0.29,0.08
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2972.0,1.0,Imóvel Comercial,0.0,0.0,0.06,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rodovia BR-101, s/nº. Paulo Lopes/ SC",2023-10-01,31077.32,1.0,,0.01,0.01
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Rua Santa Cruz, n° 561 - Varginha/ Minas Gerais",586.65,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Av Engenheiro Domingos Ferreira, n° 2.640 Recife/PE",2023-11-01,2192.4,1.0,,0.06,0.02
08.417.532/0001-30,2023-09-30,1,Imóveis para renda acabados,Posto de Combustível,"Rua Santa Cruz, n° 561 - Varginha/ Minas Gerais",586.65,1.0,Imóvel Comercial,0.0,0.0,0.01,,,,,,,,,,,,,,,,2023-12-31,1.0,"Rod do BR-285, km 670, s/n° - São Borja/RS",2023-12-20,20000.0,1.0,,0.03,0.01
